기간,미국 지표,한국 지표,조건,총 거래일(기간),조건 해당일,조건 비율(%),한국 상승일,승률(%),미국 평균 수익률(%),한국 익일 평균 수익률(%),한국 익일 수익률 std(%),최대 한국 익일 수익률(%),최소 한국 익일 수익률(%)
3년,SOXX,SKHynix,미국 상승 (>0%),742,382,51.5,207,54.2,1.33,0.23,1.76,5.71,-4.9
3년,SOXX,SKHynix,미국 하락 (<0%),742,360,48.5,179,49.7,-1.3,0.01,1.7,4.19,-4.4
3년,SOXX,SKHynix,미국 +1% 초과,742,208,28.0,112,53.8,2.07,0.18,1.78,5.66,-4.9
3년,SOXX,SKHynix,미국 +2% 초과,742,93,12.5,54,58.1,2.84,0.33,1.96,5.66,-4.9
3년,SOXX,SKHynix,미국 +3% 초과,742,32,4.3,14,43.8,3.73,0.06,1.92,4.69,-3.07
3년,SOXX,SKHynix,미국 -1% 미만,742,192,25.9,94,49.0,-2.0,-0.0,1.63,3.44,-4.4
3년,SOXX,SKHynix,미국 -2% 미만,742,84,11.3,38,45.2,-2.74,-0.1,1.62,3.25,-3.47
3년,SOXX,SKHynix,미국 -3% 미만,742,22,3.0,9,40.9,-3.6,-0.02,1.68,2.99,-3.13
3년,SOXX,SKHynix,미국 +0.5~1%,742,80,10.8,44,55.0,0.72,0.12,1.82,5.71,-4.12
3년,SOXX,SKHynix,미국 -0.5~-1%,742,85,11.5,41,48.2,-0.73,-0.02,1.62,3.99,-3.39
1년,SOXX,SKHynix,미국 상승 (>0%),260,144,55.4,79,54.9,1.35,0.3,1.65,5.71,-3.55
1년,SOXX,SKHynix,미국 하락 (<0%),260,116,44.6,61,52.6,-1.32,0.12,1.65,3.77,-3.5
1년,SOXX,SKHynix,미국 +1% 초과,260,79,30.4,43,54.4,2.1,0.36,1.69,4.65,-3.55
1년,SOXX,SKHynix,미국 +2% 초과,260,40,15.4,23,57.5,2.78,0.47,1.65,4.25,-2.77
1년,SOXX,SKHynix,미국 +3% 초과,260,11,4.2,4,36.4,3.8,-0.12,1.29,2.09,-1.63
1년,SOXX,SKHynix,미국 -1% 미만,260,64,24.6,36,56.2,-2.0,0.39,1.73,3.44,-3.47
1년,SOXX,SKHynix,미국 -2% 미만,260,31,11.9,18,58.1,-2.67,0.44,1.8,3.25,-3.47
1년,SOXX,SKHynix,미국 -3% 미만,260,7,2.7,4,57.1,-3.51,0.79,1.94,2.99,-1.59
1년,SOXX,SKHynix,미국 +0.5~1%,260,29,11.2,15,51.7,0.73,-0.01,1.73,5.71,-2.48
1년,SOXX,SKHynix,미국 -0.5~-1%,260,26,10.0,12,46.2,-0.73,-0.15,1.31,2.19,-2.62
6개월,SOXX,SKHynix,미국 상승 (>0%),129,65,50.4,38,58.5,1.34,0.29,1.53,4.65,-2.9
6개월,SOXX,SKHynix,미국 하락 (<0%),129,64,49.6,39,60.9,-1.19,0.4,1.64,3.44,-3.5
6개월,SOXX,SKHynix,미국 +1% 초과,129,36,27.9,20,55.6,2.08,0.26,1.67,4.65,-2.37
6개월,SOXX,SKHynix,미국 +2% 초과,129,20,15.5,11,55.0,2.61,0.29,1.65,4.25,-2.37
